Console/System,ROM Folder Name,Emulator (Click for Link),File Types,BIOS Files
Atari 2600,atari2600,[RetroArch Stella](https://docs.libretro.com/library/stella/),.7z .a26   .bin   .zip,Not Applicable
Atari Jaguar,atarijaguar,[BigPEmu](https://www.richwhitehouse.com/jaguar/),J64 .cof .rom .jag .abs .zip .cue .cdi,Not Applicable
Atari Jaguar,atarijaguarcd,[BigPEmu](https://www.richwhitehouse.com/jaguar/),J64 .cof .rom .jag .abs .zip .cue .cdi,Not Applicable
Atari Lynx,lynx,[RetroArch Beetle Lynx](https://docs.libretro.com/library/beetle_lynx/),.7z   .lnx   .bin   .zip,`lynxboot.img`
