Console/System,ROM Folder Name,Emulator (Click for link),File Types,BIOS Files,Additional Notes
DooM,doom,[RetroArch PrBoom](https://docs.libretro.com/library/prboom/),.7z .iwad .pwad .wad .zip,`prboom.wad`,-
EasyRPG,easyrpg,[RetroArch EasyRPG](https://docs.libretro.com/library/easyrpg/),.easyrpg .ldb ,Not Required,-
Pico-8,pico8,[RetroArch Pico-8](https://github.com/Jakz/retro8),.7z .p8 .png .zip ,Not Required,-
**Pico-8 (Standalone)**,pico8,**[Pico-8 (Standalone)](https://www.lexaloffle.com/pico-8.php)**,.p8 .png,Not Required,-
**ScummVM (Standalone)**,scummvm,**[ScummVM (Standalone)](https://www.scummvm.org/)**,Varies,Not Required,[How to Configure ScummVM to Work With Steam ROM Manager on SteamOS](./emulators/steamos/scummvm.md#how-to-configure-scummvm-to-work-with-steam-rom-manager) <br>    [How to Configure ScummVM to Work With ES-DE on SteamOS](./emulators/steamos/scummvm.md#how-to-configure-scummvm-to-work-with-es-de-pegasus-and-steam-rom-manager)
