Console/System,ROM Folder Name,Emulator (Click for Link),File Types,BIOS Files
Bandai Wonderswan,wonderswan,[RetroArch Beetle Cygne](https://docs.libretro.com/library/beetle_cygne/),.7z  .pc2  .ws  .wsc  .zip,Not Required
Bandai Wonderswan Color,wonderswancolor,[RetroArch Beetle Cygne](https://docs.libretro.com/library/beetle_cygne/),.7z  .pc2  .ws  .wsc  .zip,Not Required
