Hotkey,Citra
Menu,`L4`
Full Screen Toggle,`L4`
Layout Toggle,`L5`
Swap Screens,`R4`
Quit,Long Press `R5`
Save State,Left Trackpad Touch Menu
Load State,Left Trackpad Touch Menu
Fast Forward,Left Trackpad Touch Menu
Pause,Left Trackpad Touch Menu
Exit,`Double Tap` Left Trackpad Touch Menu
Full Screen / Menu,Left Trackpad Touch Menu
Swap Screens,Left Trackpad Touch Menu
Change Screen Layout,Left Trackpad Touch Menu
